Name,Type,Source
3 Different Colors of Daisies,Decor,Grant's
3 Different Colors of Roses,Decor,Grant's
3 Different Colors of Tulips,Decor,Grant's
Acorn,Fruit,Plant
Air Freshener,Produce,Magic
Algae,Veggie,Plant
Aloe,Veggie,Plant
Ancient Shrine,Decor,Costalot's
Apple,Fruit,Plant
Autumn Oak Tree,Decor,Grant's
Avocado,Fruit,Plant
Baked Potato,Produce,Conmixion Oven
Balloons,Decor,Costalot's
Banana,Fruit,Plant
Banana split,Produce,Magic
Bean,Veggie,Plant
Big Gold Coin,Coinage,Digging
Big Letters (A-Z),Decor,Costalot's
Big Numbers (0-9),Decor,Costalot's
Blackberry,Fruit,Plant
Blackberry Jam,Produce,Magic
Blueberry,Fruit,Plant
Blueberry muffin,Produce,Magic
Bone,Produce,Costalot's
Bonsai,Decor,Grant's
Boot,Decor,Costalot's
Bottle of Medicine,Produce,Magic
Bread,Produce,Costalot's
Bread roll,Produce,Conmixion Oven
Broccoli,Veggie,Plant
Bronze Coin,Coinage,Magic
Brownie,Produce,Conmixion Oven
Bubble Chest,Decor,Costalot's
Bubble Oyster,Decor,Shop
Burger,Produce,Conmixion Oven
Burrito,Produce,Conmixion Oven
Cabbage,Veggie,Plant
Candy Cane,Produce,Magic
Candy cane coral,Veggie,Plant
Carrot,Veggie,Plant
Carrot cake,Produce,Magic
Cereal,Produce,Conmixion Oven
Cheese,Produce,Magic
Cheesecake,Produce,Magic
Cherry,Fruit,Plant
Cherry soda,Produce,Magic
Chili,Veggie,Plant
Chris Mystery,Decor,Costalot's
Chutney,Produce,Magic
Cloudberry,Fruit,Plant
Cocoa bean,Fruit,Plant
Coconut,Fruit,Plant
Coconut macaroons,Produce,Magic
Coffee,Produce,Magic
Cookies,Produce,Conmixion Oven
Corn,Veggie,Plant
Cotton Candy,Produce,Conmixion Oven
Crash Test Dummy,Decor,Costalot's
Cream,Produce,Conmixion Oven
Cucumber,Veggie,Plant
Cupcake,Produce,Conmixion Oven
Daisy Flowerbed,Decor,Grant's
Devil’s Food Cake,Produce,Conmixion Oven
Dish sponge,Produce,Magic
Doughnut,Produce,Conmixion Oven
Dragon fruit,Fruit,Plant
Ectoplasm,Produce,Magic
Egg's Benedict,Produce,Conmixion Oven
Eggplant,Veggie,Plant
Fake Veggies,Decor,Grant's
Fig,Fruit,Plant
Figgy pudding,Produce,Magic
Fir cone,Fruit,Plant
Fish flakes,Produce,Magic
Flowering Cherry Tree,Decor,Grant's
French fries,Produce,Magic
Freshwater Sponge,Veggie,Plant
Fried Egg,Produce,Conmixion Oven
Frosty Fir Tree,Decor,Grant's
Garlic,Veggie,Plant
Garlic butter,Produce,Magic
Gem,Fruit,Plant
Ghostberry,Fruit,Plant
Ginger root,Veggie,Plant
Gingerbread man,Produce,Magic
Glowy mushroom,Veggie,Plant
Gold Coin,Coinage,Digging
Goldenberry,Fruit,Plant
Gooseberry,Fruit,Plant
Gooseberry fool,Produce,Magic
Grape,Fruit,Plant
Grilled cheese,Produce,Conmixion Oven
Guacamole,Produce,Magic
Heavenly sponge,Veggie,Plant
Highlighter,Produce,Magic
Holey Rocks,Decor,Shop
Holly,Veggie,Plant
Honey,Produce,Costalot's
Honeyberry,Fruit,Plant
Horseradish,Produce,Magic
Hot sauce,Produce,Magic
Ice Ring,Produce,Magic
Jack o’ lantern,Produce,Magic
Kebab,Produce,Conmixion Oven
Ketchup,Produce,Magic
Kiwi,Fruit,Plant
Lava Volcano,Decor,Shop
Lawn Flamingo,Decor,Costalot's
Lemon,Fruit,Plant
Lemon tart,Produce,Magic
Lime,Fruit,Plant
Lollipop,Decor,Costalot's
Mango,Fruit,Plant
Mango Mousse,Produce,Magic
Mangrove apple,Fruit,Plant
Maple leaf,Veggie,Plant
Marmalade,Produce,Magic
Meteorite,Decor,Atla's
Milk,Produce,Costalot's
Monkeynut,Fruit,Plant
Mushroom ,Produce,Magic
Mysterious Fossil,Decor,Costalot's
Natural Drum,Decor,Costalot's
Oil,Produce,Pinata
Onion,Veggie,Plant
Onion ring,Produce,Magic
Orange,Fruit,Plant
Pancake,Produce,Conmixion Oven
PB&J,Produce,Conmixion Oven
Pea,Veggie,Plant
Pea soup,Produce,Magic
Peach,Fruit,Plant
Peanut Butter,Produce,Magic
Pear,Fruit,Plant
Pearl,Produce,Costalot's
Pesto,Produce,Magic
Pickle,Produce,Magic
Pie,Produce,Magic
Pillow,Produce,Magic
Pineapple,Fruit,Plant
Pistachio,Fruit,Plant
Pizza,Produce,Conmixion Oven
Pizza Tree,Decor,Costalot's
Planky,Decor,Costalot's
Plate coral,Veggie,Plant
Plum,Fruit,Plant
Popcorn,Produce,Conmixion Oven
Popcorn Stand,Decor,Costalot's
Popsicle,Produce,Magic
Porridge,Produce,Magic
Potato,Veggie,Plant
Pumpkin,Veggie,Plant
Pumpkin Pie,Produce,Conmixion Oven
Radish,Veggie,Plant
Rainbow Cake,Produce,Conmixion Oven
Rainbow gem,Produce,Magic
Raisins,Produce,Magic
Regular Candy,Candy,Costalot's
Rhubarb,Veggie,Plant
Rice,Veggie,Plant
Rocking Chair,Decor,Costalot's
Rocky Water Perch,Decor,Costalot's
Romance Candy,Candy,Costalot's
Rope Sponge,Veggie,Plant
Rose,Veggie,Plant
Salad,Produce,Magic
Sandwich,Produce,Magic
Silver Coin,Coinage,Digging
Skull,Decor,Shop
Slushy the Snowman,Decor,Costalot's
Smoothie,Produce,Magic
Snow cone,Produce,Magic
Snow Globe,Decor,Shop
Soft coral,Veggie,Plant
Solar System,Decor,Atla's
Sour Candy,Candy,Costalot's
Spaghetti,Produce,Conmixion Oven
Sponge,Veggie,Plant
Sponge cake,Produce,Magic
Squazzil-Held Table,Decor,Costalot's
Stackable Tikki Faces,Decor,Costalot's
Stalked Sponge,Veggie,Plant
Starfruit,Fruit,Plant
Strawberry,Fruit,Plant
Strawberry shortcake,Produce,Magic
Sun-on-a-stick,Decor,Costalot's
Sushi roll,Produce,Magic
Syrup,Produce,Magic
Taco,Produce,Conmixion Oven
Taffy,Produce,Conmixion Oven
Telescope,Decor,Atla's
Toadstool,Veggie,Plant
Toast,Produce,Conmixion Oven
Toffee apple,Produce,Magic
Tomato,Veggie,Plant
Turnip,Veggie,Plant
Turnip stew,Produce,Magic
Unbread,Produce,Conmixion Oven
Vase Sponge,Veggie,Plant
Veggie Sign,Decor,Grant's
Vinegar,Produce,Magic
Walnut,Fruit,Plant
Water balloon,Produce,Magic
Water Caltrops,Fruit,Plant
Watermelon,Veggie,Plant
Wool,Produce,Costalot's
Yam,Veggie,Plant
Yam crisps,Produce,Magic